"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2,D3,D5,D4";"0603LED";4;"White";;;
2;"H2,H4,H1,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
3;"U2";"Nokia_5110_LCD";1;"Nokia_5110_LCD";;;
4;"U3";"TXB0104QPWRQ1";1;"TXB0104QPWRQ1";;;
5;"C5,C3,C4,C6";"0603C";4;"100n";;;
6;"R3,R1,R4";"0603R";3;"10k";;;
7;"Q2";"SOT-23-3";1;"NMOS";;;
8;"R8";"0603R";1;"5k1";;;
9;"JP3,JP1";"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";;;
10;"K1";"HEADER_MALE_9X1";1;"HEADER_MALE_9X1";;;
11;"D1";"0402LED";1;"purple";;;
12;"R6,R5,R7,R9";"0603R";4;"10";;;
13;"R2";"0402R";1;"330R";;;
14;"U1";"SOT-23-5";1;"SE5218";;;
15;"JP2";"SMD_JUMPER";1;"SMD_JUMPER";;;
16;"Q1";"SOT-23-3";1;"PMOS";;;
17;"C7";"0603C";1;"4u7";;;
18;"C1,C2";"0603C";2;"2u2";;;
